"subject","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X"
"2","STANDING",0.277911472222222,-0.0184208270166667,-0.105908536055556,-0.987271889259259
"2","SITTING",0.27708735173913,-0.0156879937282609,-0.109218272456522,-0.986822279565217
"2","LAYING",0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667
"2","WALKING",0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576
"2","WALKING_DOWNSTAIRS",0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446808
"2","WALKING_UPSTAIRS",0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333
"4","STANDING",0.280499745892857,-0.00948911098553571,-0.0961574905535714,-0.97692058
"4","SITTING",0.27153827992,-0.007163065158,-0.10587459588,-0.980309931
"4","LAYING",0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.954193738888889
"4","WALKING",0.278582015166667,-0.0148399475341667,-0.11140306485,-0.440829971333333
"4","WALKING_DOWNSTAIRS",0.279965329555556,-0.00980200850666667,-0.1067775246,0.0111935496222222
"4","WALKING_UPSTAIRS",0.270876696730769,-0.0319804295729615,-0.114219455519231,-0.204933042903846
"9","STANDING",0.282310057333333,-0.0200454954022222,-0.0952747481333333,-0.975741252444444
"9","SITTING",0.24832674354,-0.02701677698,-0.07537846886,-0.9572277914
"9","LAYING",0.2591955368,-0.020526821662,-0.10754972144,-0.94233309
"9","WALKING",0.278502842115385,-0.0180891971284423,-0.110820512307692,-0.238353562692308
"9","WALKING_DOWNSTAIRS",0.295923445,-0.0203994269075476,-0.0910278793952381,0.213392270547619
"9","WALKING_UPSTAIRS",0.262436475714286,-0.0195101099975714,-0.125219003959184,-0.36144437755102
"10","STANDING",0.276650300681818,-0.0155418603409091,-0.107964083931818,-0.978403481818182
"10","SITTING",0.270612056481481,-0.015042681852037,-0.104253238796296,-0.982901825925926
"10","LAYING",0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685
"10","WALKING",0.278574076603774,-0.017022351190566,-0.109057512132075,-0.178709734396226
"10","WALKING_DOWNSTAIRS",0.290401594315789,-0.0200050770710526,-0.110848597247368,0.295733547631579
"10","WALKING_UPSTAIRS",0.267121853404255,-0.0143854920340426,-0.118180420834043,-0.161591924234043
"12","STANDING",0.277405834918033,-0.0169002543196721,-0.105526999754098,-0.981243992459016
"12","SITTING",0.275007224901961,-0.0157892988523529,-0.106307228960784,-0.982568781960784
"12","LAYING",0.260113433,-0.0175203917146667,-0.108160125666667,-0.95531868
"12","WALKING",0.2771286656,-0.015560927606,-0.10316110632,-0.128898533096
"12","WALKING_DOWNSTAIRS",0.281521097391304,-0.018084266865793,-0.10955593226087,0.0424084916086956
"12","WALKING_UPSTAIRS",0.272970338653846,-0.0263574903403846,-0.107339730115385,-0.290149192307692
